Fines	Areas_actividad	TM 	frequency_l1	keywords_l1	frequency_l2	keywords_l2
• Facilitate an integral attention to the infancy and the family in situation of social risk. • The promotion of the woman in  the ámbit económic, labour and social. • Boost the equality man/woman. • Carry out actions directed to avoid the rejection by all type of discriminations by reason of age, labour situation, health, inequality or social exclusion, or originated in situations of immigration, and to improve the social integration and the with regard to the basic principles of convivencia. • Carry out activities headed to the promotion of the health and to the sanitary and social attention. • Promote activities headed to the education of the boys, to the literacy and to the occupational training and continued of the adults. • Promote actions directed to the social and labour integration, especially of the woman. • Investigate and study the social situations of marginalisation. • Accompany the people excluded of the society to reintegrarse with all his rights. • Sensitise the citizens and citizen by the problems of the poverty, and procure a greater civic consciousness that allow to go throwing reality the solidarity with the communities excluded of the society. • Report the causes of the poverty and of the social exclusion of the people and contribute proposals of solution to the public administrations and to the society.	Education - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Help economically to the moral training, intellectual and physical of the youth, especially in situations of marginalisation or of indefensión, of a direct way or indirectly, by means of the collaboration to the sostenimiento and the development of institutions and entities with activities related with the mentioned aims.	Education - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Divulging and study of problematic specific of communities with needs of assistance and help related with the loss of his capacity of personal autonomy, as well as the promotion, promotion and development of lambs and skilled services allocated to these communities.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Promotion and support to the mental health comunitaria in the preventive slopes, of fight against the social exclusion, asistenciales, rehabilitadores and of social and labour integration.	Health (hospitable) - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Attention to the boy with disorders of the development or with risk to suffer. This aim materialises  in the direct attention to the boy, familiar and school advice, school skilled cradle in the attention to boys with pluridiscapacitat, pro	Education - training - leisure - research - corporate social responsibility - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Create and organise homes of stay limited for women and his children with problems of social maladjustment, preferably those that go out of the prison. Attend victims of violence of gender and situation of poverty or marginalisation.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
We are a non-profit foundation that works to achieve the integration in the society of communities in risk of social exclusion, with special attention to the boys and to the youngsters.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Sensitisation and education by the development to the citizens by which the problems of the poverty. Complaint of the situations that generate it and promote the solidarity. Cooperation by the development to funding projects with the implication of the contraparts to improve the conditions of life of the countries impoverished and minorities excluded.	Education - environment - health (hospitable)	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
The foundation offers economic aid to the lawyers that suffer grave economic difficulties by reasons of illness or accident. excepcionalmente, this provision also can arrive to people linked to the school of lawyers that find  in the same circumstances.	Social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
Our mission is to design, create and develop programs and services, that improve the quality of life of the person and of communities in situation of social exclusion and/or in risk to suffer.	Environment - corporate social responsibility - social services	Social Integration	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	438	exclus (247), situat (217), risk (208), assist (193), communiti (147), boy (119), attent (118), integr (103), disadvantag (89), inclus (84), young (79), volunt (72), physic (70), disabl (69), reason (60), minor (57), famili (56), women (55), need (53), poverti (49), 
